City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Albany,,,-,2,5,7
Alburgh,,,-,1,1,2
Andover,,,-,0,1,1
Athens,,,-,0,2,2
Bakersfield,,,-,0,1,1
Barnard,,,-,0,1,1
Barnet,,,-,2,2,4
"Barre City",,,-,3,6,9
"Barre Town",,,-,1,0,1
Barton,,,-,0,3,3
Bennington,-,"Bennington 2-1",-,3,1,4
Bennington,-,"Bennington 2-2",-,2,1,3
Benson,,,-,0,1,1
Bethel,,,-,0,2,2
Bradford,,,-,0,1,1
Brattleboro,-,"Windham 2-1",-,3,3,6
Brattleboro,-,"Windham 2-2",-,2,4,6
Brattleboro,-,"Windham 2-3",-,11,2,13
Bridgewater,,,-,0,1,1
Bridport,,,-,0,2,2
Brighton,,,-,0,1,1
Bristol,,,-,0,3,3
Brookline,,,-,0,1,1
Burke,,,-,0,3,3
Burlington,-,"Chittenden 6-1",-,1,3,4
Burlington,-,"Chittenden 6-2",-,4,5,9
Burlington,-,"Chittenden 6-3",-,13,21,34
Burlington,-,"Chittenden 6-4",-,2,12,14
Burlington,-,"Chittenden 6-5",-,4,7,11
Burlington,-,"Chittenden 6-6",-,0,0,0
Burlington,-,"Chittenden 6-7",-,0,0,0
Cabot,,,-,0,4,4
Calais,,,-,5,9,14
Cambridge,,,-,1,0,1
Canaan,,,-,0,1,1
Castleton,,,-,0,5,5
Charleston,,,-,0,2,2
Charlotte,,,-,2,9,11
Chelsea,,,-,0,1,1
Chester,,,-,0,1,1
Clarendon,,,-,0,4,4
Colchester,-,"Chittenden 9-1",-,0,0,0
Colchester,-,"Chittenden 9-2",-,0,1,1
Concord,,,-,2,4,6
Corinth,,,-,3,5,8
Cornwall,,,-,0,2,2
Coventry,,,-,0,1,1
Craftsbury,,,-,3,33,36
Danby,,,-,1,7,8
Danville,,,-,0,2,2
Derby,,,-,5,4,9
Dorset,,,-,0,2,2
Dover,,,-,0,4,4
Dummerston,,,-,2,5,7
Duxbury,,,-,0,3,3
"E. Haven",,,-,0,1,1
"E. Montpelier",,,-,0,5,5
Eden,,,-,0,3,3
Elmore,,,-,1,3,4
Enosburgh,,,-,10,12,22
Essex,-,"Chittenden 8-1",-,0,2,2
Essex,-,"Chittenden 8-2",-,3,0,3
Essex,-,"Chittenden 8-3",-,0,4,4
Fairfax,,,-,0,3,3
Fairfield,,,-,0,2,2
Fayston,,,-,0,1,1
Ferrisburgh,,,-,2,1,3
Fletcher,,,-,1,2,3
Franklin,,,-,1,5,6
Glover,,,-,0,6,6
Grafton,,,-,0,1,1
"Grand Isle",,,-,2,0,2
Greensboro,,,-,2,4,6
Groton,,,-,0,1,1
Halifax,,,-,0,1,1
Hancock,,,-,0,2,2
Hardwick,,,-,1,9,10
Hartford,-,"Windsor 4-1",-,2,0,2
Hartford,-,"Windsor 4-2",-,4,5,9
Hartland,,,-,1,2,3
Highgate,,,-,0,1,1
Hinesburg,-,"Chittenden 4-1",-,0,0,0
Hinesburg,-,"Chittenden 4-2",-,3,2,5
Holland,,,-,0,1,1
Hubbardton,,,-,0,4,4
Huntington,,,-,2,2,4
"Hyde Park",,,-,0,1,1
Ira,,,-,2,5,7
Irasburg,,,-,0,5,5
"Isle La Motte",,,-,1,1,2
Jay,,,-,0,1,1
Jericho,,,-,2,2,4
Johnson,,,-,2,0,2
Lincoln,,,-,2,2,4
Londonderry,,,-,1,8,9
Lowell,,,-,3,7,10
Manchester,,,-,0,1,1
Marlboro,,,-,4,1,5
Marshfield,,,-,4,2,6
Mendon,,,-,0,2,2
Middlebury,,,-,1,9,10
Middlesex,,,-,4,6,10
"Middletown Springs",,,-,3,1,4
Milton,-,"Chittenden 10",-,0,3,3
Milton,-,"Grand Isle-Chittenden",-,0,0,0
Monkton,,,-,2,1,3
Montgomery,,,-,1,1,2
Montpelier,,,-,14,33,47
Moretown,,,-,1,0,1
Morgan,,,-,0,2,2
Morristown,,,-,1,3,4
"New Haven",,,-,0,2,2
Newark,,,-,0,8,8
Newbury,,,-,0,5,5
Newfane,,,-,1,0,1
"Newport City",,,-,2,3,5
"Newport Town",,,-,1,1,2
Northfield,,,-,0,3,3
Norwich,,,-,4,5,9
Orange,,,-,0,2,2
Pawlet,,,-,0,1,1
Peacham,,,-,0,2,2
Pittsfield,,,-,1,0,1
Pittsford,,,-,0,16,16
Plainfield,,,-,1,2,3
Plymouth,,,-,0,1,1
Poultney,,,-,2,2,4
Proctor,,,-,0,3,3
Putney,,,-,2,4,6
Randolph,,,-,1,1,2
Richford,,,-,3,1,4
Richmond,,,-,0,1,1
Ripton,,,-,2,5,7
Rochester,,,-,3,6,9
Rockingham,,,-,0,4,4
Royalton,,,-,2,1,3
Rupert,,,-,0,1,1
"Rutland City",-,"Rutland 5-1",-,0,3,3
"Rutland City",-,"Rutland 5-2",-,1,1,2
"Rutland City",-,"Rutland 5-3",-,1,1,2
"Rutland City",-,"Rutland 5-4",-,0,0,0
"Rutland Town",,,-,0,4,4
Ryegate,,,-,0,2,2
Salisbury,,,-,0,2,2
Sandgate,,,-,0,1,1
Sharon,,,-,1,1,2
Sheffield,,,-,0,2,2
Shelburne,-,"Chittenden 5-1",-,2,0,2
Shelburne,-,"Chittenden 5-2",-,0,2,2
Sheldon,,,-,2,0,2
Shoreham,,,-,0,1,1
"S. Burlington",-,"Chittenden 7-1",-,0,4,4
"S. Burlington",-,"Chittenden 7-2",-,2,6,8
"S. Burlington",-,"Chittenden 7-3",-,0,3,3
"S. Burlington",-,"Chittenden 7-4",-,0,3,3
"S. Hero",,,-,0,2,2
Springfield,-,"Windsor 3-1",-,0,0,0
Springfield,-,"Windsor 3-2",-,1,1,2
"St. Albans City",,,-,2,0,2
"St. Albans Town",-,"Franklin 3-1",-,0,0,0
"St. Albans Town",-,"Franklin 3-2",-,1,0,1
"St. Johnsbury",,,-,2,2,4
Stamford,,,-,0,2,2
Stannard,,,-,0,1,1
Starksboro,,,-,0,1,1
Stockbridge,,,-,1,0,1
Stowe,,,-,0,1,1
Strafford,,,-,0,1,1
Sutton,,,-,0,6,6
Swanton,,,-,0,1,1
Thetford,,,-,0,1,1
Tinmouth,-,"Rutland 2",-,0,0,0
Tinmouth,-,Rutland-Bennington,-,0,7,7
Townshend,,,-,0,2,2
Troy,-,"Orleans 2",-,0,0,0
Troy,-,Orleans-Lamoille,-,1,2,3
Tunbridge,,,-,1,1,2
Underhill,,,-,4,1,5
Vernon,,,-,0,3,3
Vershire,,,-,1,2,3
Waitsfield,,,-,0,6,6
Walden,,,-,1,8,9
Wallingford,,,-,2,3,5
Waltham,,,-,1,0,1
Warren,,,-,0,2,2
Washington,,,-,3,0,3
Waterbury,,,-,1,7,8
Waterville,,,-,0,1,1
Weathersfield,,,-,2,2,4
Wells,,,-,0,1,1
"W. Fairlee",,,-,0,1,1
"W. Rutland",,,-,5,2,7
"W. Windsor",,,-,0,1,1
Westfield,,,-,1,12,13
Westford,,,-,1,0,1
Westminster,-,"Windham 3",-,0,0,0
Westminster,-,"Windham 4",-,2,5,7
Weston,,,-,1,0,1
Whitingham,-,"Windham 6",-,0,1,1
Whitingham,-,Windham-Bennington,-,0,0,0
Williamstown,,,-,1,3,4
Williston,,,-,1,5,6
Wilmington,,,-,1,1,2
Windham,,,-,0,1,1
Windsor,,,-,1,1,2
Winhall,,,-,1,2,3
Winooski,,,-,5,11,16
Wolcott,,,-,1,7,8
Woodbury,,,-,1,4,5
Woodstock,,,-,1,2,3
Worcester,,,-,1,0,1
TOTALS,,,-,243,629,872
