City/Town,Ward,Pct,"Dean Corren",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,1,0,0,1
Arlington,,,0,1,0,1
Bakersfield,,,2,0,0,2
Barnard,,,1,0,0,1
"Barre City",,,1,0,0,1
"Barre Town",,,2,0,0,2
Barton,,,0,0,1,1
Bennington,-,"Bennington 2-1",3,0,2,5
Bennington,-,"Bennington 2-2",0,0,3,3
Benson,,,1,0,0,1
Berlin,,,0,0,1,1
Brandon,,,7,0,4,11
Brattleboro,-,"Windham 2-1",2,0,0,2
Brattleboro,-,"Windham 2-2",1,0,0,1
Brattleboro,-,"Windham 2-3",5,0,1,6
Bristol,,,3,0,0,3
Brookfield,,,1,0,0,1
Brownington,,,1,0,0,1
Burlington,-,"Chittenden 6-1",6,1,0,7
Burlington,-,"Chittenden 6-2",10,0,1,11
Burlington,-,"Chittenden 6-3",26,0,2,28
Burlington,-,"Chittenden 6-4",15,0,0,15
Burlington,-,"Chittenden 6-5",6,0,0,6
Burlington,-,"Chittenden 6-6",2,1,0,3
Burlington,-,"Chittenden 6-7",0,0,0,0
Calais,,,2,0,0,2
Cambridge,,,1,0,0,1
Canaan,,,1,0,0,1
Castleton,,,1,0,0,1
Cavendish,,,3,0,0,3
Charleston,,,1,0,1,2
Charlotte,,,1,0,0,1
Chester,,,1,0,0,1
Chittenden,,,1,0,0,1
Clarendon,,,0,0,1,1
Colchester,-,"Chittenden 9-1",1,0,0,1
Colchester,-,"Chittenden 9-2",0,0,0,0
Cornwall,,,2,0,0,2
Coventry,,,0,0,2,2
Craftsbury,,,1,1,0,2
Derby,,,1,2,0,3
Dorset,,,0,1,0,1
Dummerston,,,1,0,0,1
Duxbury,,,0,0,1,1
"E. Montpelier",,,1,0,0,1
Enosburgh,,,10,0,2,12
Essex,-,"Chittenden 8-1",1,0,0,1
Essex,-,"Chittenden 8-2",0,0,0,0
Essex,-,"Chittenden 8-3",0,0,0,0
Fairfax,,,1,0,1,2
Fairfield,,,1,0,0,1
Fairlee,,,1,0,0,1
Fayston,,,1,0,0,1
Fletcher,,,2,0,0,2
Franklin,,,0,0,1,1
"Grand Isle",,,2,0,1,3
Granville,,,1,0,0,1
Greensboro,,,1,0,0,1
Guildhall,,,1,0,0,1
Hardwick,,,1,0,0,1
Hartford,-,"Windsor 4-1",0,0,0,0
Hartford,-,"Windsor 4-2",1,0,1,2
Hartland,,,2,0,0,2
Highgate,,,0,0,1,1
Hinesburg,-,"Chittenden 4-1",0,0,0,0
Hinesburg,-,"Chittenden 4-2",2,0,0,2
Huntington,,,3,0,0,3
"Hyde Park",,,0,1,0,1
Ira,,,1,0,0,1
Irasburg,,,0,0,2,2
"Isle La Motte",,,1,0,0,1
Jamaica,,,0,0,1,1
Jericho,,,1,0,1,2
Johnson,,,1,0,0,1
Landgrove,,,2,0,0,2
Leicester,,,2,0,0,2
Lincoln,,,0,0,1,1
Londonderry,,,5,1,6,12
Lowell,,,2,0,0,2
Lunenburg,,,0,0,1,1
Marshfield,,,4,0,0,4
Middlebury,,,3,0,0,3
Middlesex,,,4,1,3,8
"Middletown Springs",,,2,0,0,2
Monkton,,,1,0,0,1
Montgomery,,,5,0,0,5
Montpelier,,,17,0,2,19
Morristown,,,2,0,0,2
"Mount Holly",,,2,0,0,2
Newark,,,0,0,1,1
Newbury,,,2,0,0,2
"Newport City",,,2,0,5,7
"Newport Town",,,1,0,0,1
"N. Hero",,,1,0,0,1
Norwich,,,4,0,0,4
Orange,,,0,1,2,3
Panton,,,1,0,0,1
Peacham,,,1,0,2,3
Pittsford,,,1,0,0,1
Plainfield,,,3,0,0,3
Plymouth,,,1,0,0,1
Pownal,,,1,0,1,2
Proctor,,,0,0,1,1
Putney,,,2,0,0,2
Randolph,,,2,0,0,2
Readsboro,,,0,0,1,1
Rockingham,,,0,0,1,1
Roxbury,,,1,0,0,1
Royalton,,,1,0,0,1
"Rutland City",-,"Rutland 5-1",0,0,0,0
"Rutland City",-,"Rutland 5-2",1,0,0,1
"Rutland City",-,"Rutland 5-3",0,0,0,0
"Rutland City",-,"Rutland 5-4",0,0,0,0
"Rutland Town",,,0,0,1,1
Ryegate,,,2,0,0,2
Shaftsbury,,,1,0,1,2
