City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Albany,,,-,0,1,1
Andover,,,-,0,1,1
Arlington,,,-,1,0,1
Bakersfield,,,-,2,7,9
Baltimore,,,-,1,0,1
Barnard,,,-,0,2,2
"Barre Town",,,-,2,4,6
Barton,,,-,1,1,2
Bennington,-,"Bennington 2-1",-,0,4,4
Bennington,-,"Bennington 2-2",-,6,6,12
Benson,,,-,1,2,3
Berlin,,,-,0,2,2
Bethel,,,-,0,2,2
Bolton,,,-,0,2,2
Brandon,,,-,1,3,4
Brattleboro,-,"Windham 3-1",-,2,4,6
Brattleboro,-,"Windham 3-2",-,5,3,8
Brattleboro,-,"Windham 3-3",-,5,6,11
Bridgewater,,,-,1,1,2
Brighton,,,-,2,2,4
Bristol,,,-,3,1,4
Brookfield,,,-,1,0,1
Brownington,,,-,0,1,1
Burlington,-,"Chittenden 3-1",-,1,5,6
Burlington,-,"Chittenden 3-2",-,0,3,3
Burlington,-,"Chittenden 3-3",-,2,6,8
Burlington,-,"Chittenden 3-4",-,3,10,13
Burlington,-,"Chittenden 3-5",-,1,5,6
Burlington,-,"Chittenden 3-6",-,2,0,2
Cabot,,,-,0,2,2
Calais,,,-,0,4,4
Cambridge,,,-,1,1,2
Canaan,,,-,2,0,2
Castleton,,,-,0,1,1
Charlotte,,,-,1,1,2
Chelsea,,,-,0,2,2
Chester,,,-,0,1,1
Chittenden,,,-,0,1,1
Clarendon,,,-,0,2,2
Concord,,,-,0,1,1
Corinth,,,-,1,2,3
Craftsbury,,,-,2,1,3
Danby,,,-,1,0,1
Derby,,,-,2,0,2
Dover,,,-,0,2,2
Dummerston,,,-,0,1,1
Duxbury,,,-,1,1,2
"E. Haven",,,-,2,1,3
Eden,,,-,0,1,1
Elmore,,,-,0,1,1
Enosburgh,,,-,6,13,19
Essex,-,"Chittenden 6-1",-,0,3,3
Essex,-,"Chittenden 6-2",-,0,3,3
Essex,-,"Chittenden 6-3",-,1,0,1
Fairfax,,,-,0,1,1
Fayston,,,-,0,1,1
Ferrisburgh,,,-,0,2,2
Fletcher,,,-,0,1,1
Georgia,,,-,0,2,2
Grafton,,,-,0,1,1
"Grand Isle",,,-,1,2,3
Greensboro,,,-,1,2,3
Groton,,,-,0,2,2
Guildhall,,,-,1,0,1
Guilford,,,-,1,2,3
Hancock,,,-,1,0,1
Hardwick,,,-,1,2,3
Hartford,-,"Windsor 6-1",-,0,1,1
Hartford,-,"Windsor 6-2",-,1,2,3
Hartland,,,-,0,10,10
Highgate,,,-,0,1,1
Hinesburg,-,"Chittenden 1-1",-,1,1,2
Hinesburg,-,"Chittenden 1-2",-,0,1,1
Huntington,,,-,2,6,8
"Hyde Park",,,-,1,4,5
Irasburg,,,-,1,0,1
"Isle La Motte",,,-,1,0,1
Jay,,,-,1,0,1
Jericho,,,-,0,4,4
Johnson,,,-,1,3,4
Killington,,,-,1,1,2
Landgrove,,,-,0,1,1
Leicester,,,-,0,2,2
Lincoln,,,-,0,1,1
Lowell,,,-,0,1,1
Lunenburg,,,-,0,1,1
Lyndon,,,-,1,2,3
Maidstone,,,-,2,2,4
Manchester,,,-,1,2,3
Marlboro,,,-,0,1,1
Marshfield,,,-,1,0,1
Mendon,,,-,0,3,3
Middlebury,,,-,2,2,4
Middlesex,,,-,0,1,1
"Middletown Springs",,,-,1,1,2
Milton,-,"Chittenden 9",-,0,4,4
Milton,-,"Grand Isle-Chittenden 1-1",-,1,1,2
Monkton,,,-,0,2,2
Montgomery,,,-,0,4,4
Montpelier,,,-,5,8,13
Moretown,,,-,2,1,3
Morristown,,,-,1,1,2
"Mount Holly",,,-,3,2,5
Newbury,,,-,1,4,5
Newfane,,,-,1,3,4
"Newport City",,,-,1,2,3
"Newport Town",,,-,1,2,3
Northfield,,,-,1,0,1
Norwich,,,-,2,0,2
Orange,,,-,0,1,1
Orwell,,,-,2,0,2
Panton,,,-,0,2,2
Peacham,,,-,1,1,2
Pittsfield,,,-,1,0,1
Pittsford,,,-,1,1,2
Plainfield,,,-,0,1,1
Plymouth,,,-,0,1,1
Pomfret,,,-,0,3,3
Poultney,,,-,0,2,2
Pownal,,,-,0,2,2
Proctor,,,-,0,2,2
Putney,,,-,3,4,7
Randolph,,,-,1,2,3
Reading,,,-,0,1,1
Readsboro,,,-,0,1,1
Richford,,,-,1,1,2
Richmond,,,-,0,1,1
Ripton,,,-,1,0,1
Rochester,,,-,4,10,14
Rockingham,,,-,1,9,10
"Rutland City",-,"Rutland 5-1",-,0,1,1
"Rutland City",-,"Rutland 5-2",-,1,2,3
"Rutland City",-,"Rutland 5-3",-,2,0,2
"Rutland City",-,"Rutland 5-4",-,1,0,1
"Rutland Town",,,-,0,1,1
Shaftsbury,,,-,2,1,3
Sharon,,,-,0,2,2
Shelburne,-,"Chittenden 5-1",-,0,1,1
Shelburne,-,"Chittenden 5-2",-,0,1,1
Sheldon,,,-,1,1,2
Shrewsbury,,,-,1,1,2
"S. Burlington",-,"Chittenden 3-10",-,1,2,3
"S. Burlington",-,"Chittenden 3-7",-,0,0,0
"S. Burlington",-,"Chittenden 3-8",-,0,2,2
"S. Burlington",-,"Chittenden 3-9",-,2,2,4
"S. Hero",,,-,0,1,1
Springfield,-,"Windsor 1-1",-,0,0,0
Springfield,-,"Windsor 1-2",-,0,1,1
"St. Albans City",,,-,3,3,6
"St. Albans Town",,,-,0,1,1
"St. Johnsbury",,,-,2,1,3
Stamford,,,-,0,2,2
Starksboro,,,-,1,0,1
Stockbridge,,,-,1,1,2
Stowe,,,-,0,1,1
Strafford,,,-,0,3,3
Swanton,,,-,0,5,5
Thetford,,,-,0,2,2
Tinmouth,,,-,1,2,3
Topsham,,,-,2,3,5
Townshend,,,-,1,0,1
Troy,,,-,1,0,1
Tunbridge,,,-,1,0,1
Underhill,,,-,0,4,4
Vergennes,,,-,0,3,3
Vernon,,,-,0,2,2
Vershire,,,-,1,1,2
Walden,,,-,1,1,2
Wardsboro,,,-,0,1,1
Warren,,,-,0,1,1
Washington,,,-,2,1,3
Waterbury,,,-,0,3,3
Waterford,,,-,0,1,1
"W. Fairlee",,,-,0,3,3
"W. Haven",,,-,2,0,2
"W. Rutland",,,-,0,2,2
"W. Windsor",,,-,0,1,1
Westfield,,,-,1,0,1
Westford,,,-,1,2,3
Westminster,-,"Windham 4",-,0,0,0
Westminster,-,"Windham 5",-,4,3,7
Weston,,,-,0,5,5
Williamstown,,,-,2,4,6
Wilmington,,,-,1,0,1
Windham,,,-,0,1,1
Windsor,,,-,4,2,6
Winhall,,,-,1,0,1
Winooski,,,-,2,2,4
Wolcott,,,-,0,3,3
Woodbury,,,-,1,1,2
Woodford,,,-,1,0,1
Woodstock,,,-,0,2,2
Worcester,,,-,1,2,3
TOTALS,,,-,171,374,545
